序号，项目编码，专业分类，差异类型，清单1 点位，清单2 点位，清单3 点位，核验确认
1,040103002003,专业，类型，,待确认,待确认,
2,041001001001,专业，类型，,待确认,待确认,
3,040103002005,专业，类型，,待确认,待确认,
4,040203006001,专业，类型，,待确认,待确认,
5,040103002002,专业，类型，,待确认,待确认,
6,040103002001,专业，类型，,待确认,待确认,
7,041001001002,专业，类型，,待确认,待确认,
8,040103002004,专业，类型，,待确认,待确认,
9,041001001004,专业，类型，,待确认,待确认,
10,041001006008,专业，类型，,待确认,待确认,
11,040203007001,专业，类型，,待确认,待确认,
12,040103002006,专业，类型，,待确认,待确认,
13,041001001003,专业，类型，,待确认,待确认,
14,041106001001,专业，类型，,待确认,待确认,
15,040303006001,专业，类型，,待确认,待确认,
16,041001002002,专业，类型，,待确认,待确认,
17,041001006003,专业，类型，,待确认,待确认,
18,041001006005,专业，类型，,待确认,待确认,
19,041001006009,专业，类型，,待确认,待确认,
20,041001002001,专业，类型，,待确认,待确认,
21,041001006001,专业，类型，,待确认,待确认,
22,040204002002,专业，类型，,待确认,待确认,
23,040101002002,专业，类型，,待确认,待确认,
24,040101002003,专业，类型，,待确认,待确认,
25,040504009003,专业，类型，,待确认,待确认,
26,040103001005,专业，类型，,待确认,待确认,
27,041001006004,专业，类型，,待确认,待确认,
28,040103001007,专业，类型，,待确认,待确认,
29,040101002001,专业，类型，,待确认,待确认,
30,041001006006,专业，类型，,待确认,待确认,
31,040204002001,专业，类型，,待确认,待确认,
32,041001006007,专业，类型，,待确认,待确认,
33,060104002002,专业，类型，,待确认,待确认,
34,010512008003,专业，类型，,待确认,待确认,
35,041001002003,专业，类型，,待确认,待确认,
36,041001006002,专业，类型，,待确认,待确认,
37,010404001002,专业，类型，,待确认,待确认,
