序号，点位名称，清单1 页码，清单 2 页码，清单 3 页码，工程量差异，单价差异，合价差异，核验确认
1,D 九坑子路西段土石方工程,待查找,待查找,待查找,待对比，待对比，待对比，
2,D 九坑子路西段恢复工程,待查找,待查找,待查找,待对比，待对比，待对比，
3,D 九坑子路西段拆除工程,待查找,待查找,待查找,待对比，待对比，待对比，
4,D 九坑子路西段雨水工程,待查找,待查找,待查找,待对比，待对比，待对比，
5,九坑子路东段土石方工程,待查找,待查找,待查找,待对比，待对比，待对比，
6,九坑子路东段恢复工程,待查找,待查找,待查找,待对比，待对比，待对比，
7,九坑子路东段拆除工程,待查找,待查找,待查找,待对比，待对比，待对比，
8,九坑子路东段雨水工程,待查找,待查找,待查找,待对比，待对比，待对比，
9,工程名称：土石方工程-上肖家湾路,待查找,待查找,待查找,待对比，待对比，待对比，
10,工程名称：土石方工程-九坑子路,待查找,待查找,待查找,待对比，待对比，待对比，
11,工程名称：土石方工程-六店子社区公园,待查找,待查找,待查找,待对比，待对比，待对比，
12,工程名称：土石方工程-李子坝片区,待查找,待查找,待查找,待对比，待对比，待对比，
13,工程名称：土石方工程-煤建新村B区,待查找,待查找,待查找,待对比，待对比，待对比，
14,工程名称：土石方工程-煤建新村路,待查找,待查找,待查找,待对比，待对比，待对比，
15,工程名称：土石方工程-石油路地铁站1B出口,待查找,待查找,待查找,待对比，待对比，待对比，
16,工程名称：土石方工程-石油路小学,待查找,待查找,待查找,待对比，待对比，待对比，
17,工程名称：土石方工程-肖家湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
18,工程名称：土石方工程-金银湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
19,工程名称：土石方工程-马家堡片区,待查找,待查找,待查找,待对比，待对比，待对比，
20,工程名称：恢复工程-上肖家湾路,待查找,待查找,待查找,待对比，待对比，待对比，
21,工程名称：恢复工程-九坑子路,待查找,待查找,待查找,待对比，待对比，待对比，
22,工程名称：恢复工程-六店子社区公园,待查找,待查找,待查找,待对比，待对比，待对比，
23,工程名称：恢复工程-李子坝片区,待查找,待查找,待查找,待对比，待对比，待对比，
24,工程名称：恢复工程-煤建新村B区,待查找,待查找,待查找,待对比，待对比，待对比，
25,工程名称：恢复工程-煤建新村路,待查找,待查找,待查找,待对比，待对比，待对比，
26,工程名称：恢复工程-石油路地铁站1B出口,待查找,待查找,待查找,待对比，待对比，待对比，
27,工程名称：恢复工程-石油路小学,待查找,待查找,待查找,待对比，待对比，待对比，
28,工程名称：恢复工程-肖家湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
29,工程名称：恢复工程-金银湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
30,工程名称：恢复工程-马家堡片区,待查找,待查找,待查找,待对比，待对比，待对比，
31,工程名称：拆除工程-上肖家湾路,待查找,待查找,待查找,待对比，待对比，待对比，
32,工程名称：拆除工程-九坑子路,待查找,待查找,待查找,待对比，待对比，待对比，
33,工程名称：拆除工程-六店子社区公园,待查找,待查找,待查找,待对比，待对比，待对比，
34,工程名称：拆除工程-李子坝片区,待查找,待查找,待查找,待对比，待对比，待对比，
35,工程名称：拆除工程-煤建新村B区,待查找,待查找,待查找,待对比，待对比，待对比，
36,工程名称：拆除工程-煤建新村路,待查找,待查找,待查找,待对比，待对比，待对比，
37,工程名称：拆除工程-石油路地铁站1B出口,待查找,待查找,待查找,待对比，待对比，待对比，
38,工程名称：拆除工程-石油路小学,待查找,待查找,待查找,待对比，待对比，待对比，
39,工程名称：拆除工程-肖家湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
40,工程名称：拆除工程-金银湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
41,工程名称：拆除工程-马家堡片区,待查找,待查找,待查找,待对比，待对比，待对比，
42,工程名称：排水工程-上肖家湾路,待查找,待查找,待查找,待对比，待对比，待对比，
43,工程名称：排水工程-九坑子路,待查找,待查找,待查找,待对比，待对比，待对比，
44,工程名称：排水工程-六店子社区公园,待查找,待查找,待查找,待对比，待对比，待对比，
45,工程名称：排水工程-李子坝片区,待查找,待查找,待查找,待对比，待对比，待对比，
46,工程名称：排水工程-煤建新村B区,待查找,待查找,待查找,待对比，待对比，待对比，
47,工程名称：排水工程-煤建新村路,待查找,待查找,待查找,待对比，待对比，待对比，
48,工程名称：排水工程-石油路地铁站1B出口,待查找,待查找,待查找,待对比，待对比，待对比，
49,工程名称：排水工程-石油路小学,待查找,待查找,待查找,待对比，待对比，待对比，
50,工程名称：排水工程-肖家湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
51,工程名称：排水工程-金银湾片区,待查找,待查找,待查找,待对比，待对比，待对比，
52,工程名称：排水工程-马家堡片区,待查找,待查找,待查找,待对比，待对比，待对比，
53,施工区域、慢行 23827-2021《道路交通标志,待查找,待查找,待查找,待对比，待对比，待对比，
